Dance,NumDancers,Rating_5,Rating_4,Rating_3,Rating_2,Rating_1
淡妆浓抹总相宜,11,"1, 2, 3, 4, 5, 6, 7, 13, 20, 29, 30, 33, 34, 36, 43, 56","10, 12, 16, 28, 44, 47, 54","8, 9, 14, 15, 17, 18, 19, 21, 22, 24, 25, 26, 27, 37, 39, 45, 47, 48, 50, 51","2, 11, 23, 32, 38, 40, 41, 42, 52","53, 54, 55"
茉莉花,9,"1, 2, 4, 5, 6, 10, 13, 16, 20, 26, 29, 33, 36, 43, 57","3, 11, 17, 15, 17, 23, 30, 45, 48, 51, 56","8, 9, 14, 12, 24, 28, 34, 39, 44, 47, 49, ","19, 25, 27, 32, 35, 41, 42, 52","18, 21, 22, 31, 37, 38, 40, 50, 53, 54, 55 "
青山远黛,6,"1,2,3,5,7,13,16,20,33,29,30,34,36,45,57,56","4,6,15,26,40,47,51,49","14,11,35,32,48","9,10,37,44,50,52,54,55","8,12,17,18,19,21,22,23,24,25,27,28,31,38,39,41,42,53"
傣家女儿傣家雨,5,"20, 5, 11, 16, 33, 37, 52, 1, 2, 3, 4, 6","7, 8, 9, 10, 12, 13, 14, 34, 36, 43, 45, 57","38, 15, 17, 18, 19, 21, 22, 35, 40, 41, 42, 51, 23, 33, 39, 44, 48, 49, 26","31, 24, 25, 27, 32, 50, 54, 55","28, 47, 53"
蛾儿雪柳,12,"1, 2, 5, 6, 7, 13, 20, 43, 29,57","3, 4, 10, 11, 16, 23, 26, 33, 34, 36, 48, 30","9, 12, 15, 21, 24, 25, 28, 32, 35, 39, 40, 41, 44, 45, 47, 49, 51","8, 14, 18, 19, 22, 27, 37, 38, 42, 50, 52","31, 53, 54, 55"
溯跃,6,"1, 2, 3, 5, 6, 12, 16, 20, 29","7, 30, 34, 56",,"4, 9, 10, 15, 26","8,11,17,18,19,21,22,23,24,25,27,28,31,32,33,35,36,37,38,39,41,42,44,45,46,47,48,49,50,51,52,54,55"
云水伊人,10-14,"1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 16, 17, 20, 24, 29, 30, 43","10, 13, 21, 23, 26, 28, 33, 34, 36, 37, 39, 45, 47, 49","14, 18, 25, 44, 48","22, 27, 38, 40, 32, 35, 41, 42, 50, 51, 52","31, 53, 54, 55"
喜马拉雅,"3,5","13, 30, 56, 20","34, 35","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17,23, 24, 25, 26, 27, 28, 29, 32, 33, 36, 37, 38, 39, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",,"18,19, 22, 21, 41, 53, 54, 55, 31, 42"
东北秧歌小看戏,6,"1, 2, 4, 5, 6, 13, 16, 20, 29, 36, 43, 45, 57","3, 10, 30, 33, 48, 51, 56","9, 11, 12, 15, 17, 23, 26, 34, 35, 39, 44,","8, 24, 27, 28, 32, 47, 49, 50, ","14, 18, 19, 21, 22, 25, 31, 37, 38, 40, 41, 42, 52, 53, 54, 55"
天鹅,9,"2, 3, 4, 5, 29, 6, 13, 15, 16, 20, 26,30","7, 8, 10, 12, 34, 33, 36, 43, 48, 49, 35","9, 14, 17, 21, 23, 24, 25, 44, 45, 47","11, 27, 28, 37, 38, 39, 42, 50, 51, 32, 31","18, 19, 22, 4, 53, 52, 54, 55"
一生一世,6,"1, 2, 4, 5, 6, 7, 8, 9, 10, 13, 16, 20, 29, 30, 34, 36, 56, 57","12, 15, 17, 26, 43, 45, 48","11, 23, 24, 28, 33","25, 32, 35, 39, 46, 47, 49, 50, ","14, 18, 19, 21, 22, 27, 31, 37, 38, 40, 41, 42, 44, 52, 54, 55 "
只此青绿,11-18,"3, 1, 16, 34","6, 43, 33, 9, 22, 24, 26, 36","48, 51, 10, 11, 21, 25, 32, 12, 23, 37, 47","28, 50, 8, 19",53
玉鸟,"14,17,20","1, 2, 3, 4, 29, 6, 10, 13, 16, 20, 26, 30, ","9, 15, 25, 33, 36, 43, 45, 48","7, 8, 12, 23, 24, 34, 35, 44, 49","11,14, 17, 27, 28, 37, 38, 39, 47, 50, 51, 52, 32","18,19, 22, 21, 41, 53, 54, 55, 31, 42"
