Dance,Dancer
dance1,name16
dance1,name14
dance2,name17
dance2,name20
dance2,name7
dance2,name10
dance3,name16
dance3,name20
dance3,name7
dance3,name12
dance3,name2
dance3,name1
dance3,name15
dance3,name4
dance4,name16
dance4,name14
dance4,name20
dance4,name7
dance4,name12
dance4,name2
dance4,name22
dance4,name15
dance4,name21
dance4,name18
dance4,name8
dance4,name10
dance5,name16
dance5,name20
dance5,name12
dance5,name22
dance5,name15
dance5,name18
dance5,name4
dance5,name8
dance5,name13
dance5,name11
dance5,name3
dance5,name9
dance5,name23
dance5,name24
dance5,name5
dance5,name6
